Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.13,Architecture,Architecture & Design,1995-01-17,Y,12,http://www.moma.org/collection/works/12,http://www.moma.org/media/W1siZiIsIjE1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6e1527eb9b09450e,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.14,Architecture,Architecture & Design,1995-01-17,Y,13,http://www.moma.org/collection/works/13,http://www.moma.org/media/W1siZiIsIjE1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9a7e91e26cc070d3,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.15,Architecture,Architecture & Design,1995-01-17,Y,14,http://www.moma.org/collection/works/14,http://www.moma.org/media/W1siZiIsIjE1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=928404313b6e327a,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.16,Architecture,Architecture & Design,1995-01-17,Y,15,http://www.moma.org/collection/works/15,http://www.moma.org/media/W1siZiIsIjE1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=92e86c4dda40db51,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.17,Architecture,Architecture & Design,1995-01-17,Y,16,http://www.moma.org/collection/works/16,http://www.moma.org/media/W1siZiIsIjE1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=10298a6fdd0a3f8b,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.18,Architecture,Architecture & Design,1995-01-17,Y,17,http://www.moma.org/collection/works/17,http://www.moma.org/media/W1siZiIsIjE1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6298badad2083963,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.19,Architecture,Architecture & Design,1995-01-17,Y,18,http://www.moma.org/collection/works/18,http://www.moma.org/media/W1siZiIsIjE1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=812f8374417397f7,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.2,Architecture,Architecture & Design,1995-01-17,Y,19,http://www.moma.org/collection/works/19,http://www.moma.org/media/W1siZiIsIjE2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=853a4c12a1f866b3,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.20,Architecture,Architecture & Design,1995-01-17,Y,20,http://www.moma.org/collection/works/20,http://www.moma.org/media/W1siZiIsIjE2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7d969f2f0f338021,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York , Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.21,Architecture,Architecture & Design,1995-01-17,Y,21,http://www.moma.org/collection/works/21,http://www.moma.org/media/W1siZiIsIjE2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=71cc02520546adeb,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.22,Architecture,Architecture & Design,1995-01-17,Y,22,http://www.moma.org/collection/works/22,http://www.moma.org/media/W1siZiIsIjE2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d139e20bbc4aa0bb,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.23,Architecture,Architecture & Design,1995-01-17,Y,23,http://www.moma.org/collection/works/23,http://www.moma.org/media/W1siZiIsIjE2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=16ccf1f79cb2603a,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.24,Architecture,Architecture & Design,1995-01-17,Y,24,http://www.moma.org/collection/works/24,http://www.moma.org/media/W1siZiIsIjE2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5d556407eb094641,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.3,Architecture,Architecture & Design,1995-01-17,Y,25,http://www.moma.org/collection/works/25,http://www.moma.org/media/W1siZiIsIjE2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=18a8385ca7cdd4e7,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.4,Architecture,Architecture & Design,1995-01-17,Y,26,http://www.moma.org/collection/works/26,http://www.moma.org/media/W1siZiIsIjE2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=449672fc7f320c11,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.5,Architecture,Architecture & Design,1995-01-17,Y,27,http://www.moma.org/collection/works/27,http://www.moma.org/media/W1siZiIsIjE2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=12696ff274c2d075,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.6,Architecture,Architecture & Design,1995-01-17,Y,28,http://www.moma.org/collection/works/28,http://www.moma.org/media/W1siZiIsIjE2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b03e29eaf9015560,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.7,Architecture,Architecture & Design,1995-01-17,Y,29,http://www.moma.org/collection/works/29,http://www.moma.org/media/W1siZiIsIjE3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c79937bf4be17dd4,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.8,Architecture,Architecture & Design,1995-01-17,Y,30,http://www.moma.org/collection/works/30,http://www.moma.org/media/W1siZiIsIjE3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=983ec471f7b9bf38,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.9,Architecture,Architecture & Design,1995-01-17,Y,31,http://www.moma.org/collection/works/31,http://www.moma.org/media/W1siZiIsIjE3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8dc2b1702f1cc928,,,,35.6,,,45.7,,
"Memorial to the Six Million Jewish Martyrs, project, New York City, New York, Perspective of central pier",Louis I. Kahn,2964,"(American, born Estonia. 1901–1974)",(American),(1901),(1974),(Male),1968,Charcoal and graphite on tracing paper,"44 1/2 x 66"" (113 x 167.6 cm)",Purchase,3.1997,Architecture,Architecture & Design,1997-01-15,Y,32,http://www.moma.org/collection/works/32,http://www.moma.org/media/W1siZiIsIjE3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=84cc6597561b2de4,,,,113.0,,,167.6,,
"The Manhattan Transcripts Project, New York, New York, Introductory panel to Episode 2: The Street (Border Crossing)",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1980,Photographic reproduction with colored synthetic laminate,"20 x 20"" (50.8 X 50.8 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,4.1995,Architecture,Architecture & Design,1995-01-17,Y,33,http://www.moma.org/collection/works/33,http://www.moma.org/media/W1siZiIsIjIwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6eac24bddfbd6e80,,,,50.8,,,50.8,,
"Royal Hunting Tent, project, Exterior perspective",Marcel Kammerer,7607,"(Austrian, 1878–1969)",(Austrian),(1878),(1969),(Male),1900,"Ink, graphite, watercolor, gouache, and airbrush on paper","18 7/8 x 12 3/8"" (47.9 x 31.4 cm)",Gift of Jo Carole and Ronald S. Lauder,4.1997,Architecture,Architecture & Design,1997-01-15,Y,34,http://www.moma.org/collection/works/34,http://www.moma.org/media/W1siZiIsIjIwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0cfad4657585b97a,,,,47.9,,,31.4,,
"The Manhattan Transcripts Project, New York, New York, Episode 2: The Street (Border Crossing)",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1978,"Ink, charcoal, graphite, cut-and-pasted photographic reproductions, Letraset type, and color pencil on tracing paper","24 x 322"" (61 x 817.9 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,5.1995,Architecture,Architecture & Design,1995-01-17,Y,35,http://www.moma.org/collection/works/35,,,,,60.9601,,,817.8816,,
"House in Krems, project, Krems, Austria, Elevation",Otto Schönthal,7608,"(Austrian, 1878–1961)",(Austrian),(1878),(1961),(Male),1905,"Graphite, ink, watercolor, and metallic paint on paper","12 x 8 1/2"" (30.5 x 21.6 cm)",Gift of Jo Carole and Ronald S. Lauder,5.1997,Architecture,Architecture & Design,1997-01-15,Y,36,http://www.moma.org/collection/works/36,http://www.moma.org/media/W1siZiIsIjIzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ef193035b3a3aafd,,,,30.5,,,21.6,,
"The Manhattan Transcripts Project, New York, New York, Introductory panel to Episode 3: The Tower (The Fall)",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1980,Photographic reproduction with colored synthetic laminate,"20 x 20""(50.8 x 50.8 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,6.1995,Architecture,Architecture & Design,1995-01-17,Y,38,http://www.moma.org/collection/works/38,http://www.moma.org/media/W1siZiIsIjI2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=31484971971b7d89,,,,50.8,,,50.8,,
"Imperial Post Office, Teschen, Austria (Elevation)",Otto Schönthal,7608,"(Austrian, 1878–1961)",(Austrian),(1878),(1961),(Male),1906,"Pencil, ink, colored pencil, and gouache on paper","11 5/8 x 14 1/8"" (29.6 x 35.8 cm)",Gift of Jo Carole and Ronald S. Lauder,6.1997,Architecture,Architecture & Design,1997-01-15,Y,39,http://www.moma.org/collection/works/39,,,,,29.6,,,35.8,,
"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1979,Ink on tracing paper,"48 x 24"" (121.9 x 61 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,7.1995.1,Architecture,Architecture & Design,1995-01-17,Y,41,http://www.moma.org/collection/works/41,http://www.moma.org/media/W1siZiIsIjI5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=10dec16cba1a425d,,,,121.9,,,61.0,,
"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1979,Ink and transfer on tracing paper,"Each: 48 x 24"" (121.9 x 61 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,7.1995.1-9,Architecture,Architecture & Design,1995-01-17,Y,42,http://www.moma.org/collection/works/42,http://www.moma.org/media/W1siZiIsIjI4OTExNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9bdec4b6fe84ea57,,,,121.9202,,,60.9601,,
"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1979,Ink on tracing paper,"48 x 24"" (121.9 x 61 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,7.1995.2,Architecture,Architecture & Design,1995-01-17,Y,43,http://www.moma.org/collection/works/43,http://www.moma.org/media/W1siZiIsIjI5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fe1b299b2811e1f2,,,,121.9,,,61.0,,
"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1980,Ink on tracing paper,"48 x 24"" (121.9 x 61 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,7.1995.3,Architecture,Architecture & Design,1995-01-17,Y,44,http://www.moma.org/collection/works/44,http://www.moma.org/media/W1siZiIsIjI5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1d4d25ae7bcd3c35,,,,121.9,,,61.0,,
"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1979,Ink on tracing paper,"48 x 24"" (121.9 x 61 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,7.1995.4,Architecture,Architecture & Design,1995-01-17,Y,45,http://www.moma.org/collection/works/45,http://www.moma.org/media/W1siZiIsIjI5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9ea63502ed5fc43b,,,,121.9,,,61.0,,
"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1979,Ink on tracing paper,"48 x 24"" (121.9 x 61 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,7.1995.5,Architecture,Architecture & Design,1995-01-17,Y,46,http://www.moma.org/collection/works/46,http://www.moma.org/media/W1siZiIsIjI5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1bd4abfd31196d89,,,,121.9,,,61.0,,
"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1979,Ink on tracing paper,"48 x 24"" (121.9 x 61 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,7.1995.6,Architecture,Architecture & Design,1995-01-17,Y,47,http://www.moma.org/collection/works/47,http://www.moma.org/media/W1siZiIsIjI5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0c0575c28d6851d8,,,,121.9,,,61.0,,
"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(Male),1979,Ink on tracing paper,"48 x 24"" (121.9 x 61 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,7.1995.7,Architecture,Architecture & Design,1995-01-17,Y,48,http://www.moma.org/collection/works/48,http://www.moma.org/media/W1siZiIsIjMwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1bc4e79e5aea997e,,,,121.9,,,61.0,,
